id,dialogue,summary
1," customer: neither my iPhone nor my Apple Watch are recording my steps/activity, and Health doesn’t recognise either source anymore for some reason. Any ideas?  customer: please read the above. support: Let’s investigate this together. To start, can you tell us the software versions your iPhone and Apple Watch are running currently? customer: My iPhone is on 11.1.2, and my watch is on 4.1. support: Thank you. Have you tried restarting both devices since this started happening? customer: I’ve restarted both, also un-paired then re-paired the watch. support: Got it. When did you first notice that the two devices were not talking to each other. Do the two devices communicate through other apps such as Messages? customer: Yes, everything seems fine, it’s just Health and activity. support: Let’s move to DM and look into this a bit more. When reaching out in DM, let us know when this first started happening please. For example, did it start after an update or after installing a certain app? ",Customer enquired about his Iphone and Apple watch which is not showing his any steps/activity and health activities. Agent is asking to move to DM and look into it.
2," customer: hi team! i m planning to get Apple AirPods ! it shows on the website it has 10 days replacement warranty, can u explain me what is it ? support: We've a 10days replacement policy if the item you received is damaged or defective. ^SH customer: Ok ! But what if i didn’t like the product and want to return it support: We wouldn't be able to accept the remorse returns. For more information on mobile returns policy. Kindly click on the link shared here:  Appreciate your understanding. ^VN customer: Ok thanks ! But these are earphones so does it mean same policy apply for these as well support: Yes, headsets/ earphones are not eligible for remorse returns. In case of any damage/ defect you can reach out to us, we'll check and help you accordingly. ^VN customer: Oh ok ! Thanks for the help ! Much appreciated :) support: Thanks to you too for understanding. Do keep us posted for any further concerns. We'll be happy to help. 😊 ^VN",Customer is eager to know about the replacement policy on the earphones he wishes to buy. Agent stated that it only applies if the received item is defective or damaged.
3," customer: Where do I write to address a customer service issue to higher management? support: Hi Chris. Which U.S. based card is this concerning? Please do not release any personal or card information. ^Clarissa support: Hi I never heard back from you. Let me know if I can assist. All the best. ^Clarissa customer: It was the Delta sky miles card. support: Good Morning. What is this concerning and I may be able to help? ^RK customer: Signed up for new card with Delta to book immediately book tix. Card number didn't come up. Customer svce refused to help. support: Good morning, thanks for reaching out. Please call our New Accounts Team at 877-399-3086, for assistance. They're available, support: Monday - Friday 8:00 AM to 12:00 AM (ET); Saturday 10:00 AM to 6:00 PM (ET). Sorry for the inconvenience.^In",Signed up for an AmexCard with Delta but it didn't go through. Told to phone the new accounts team.
4," customer:  Wow, expected 4 packages yesterday, but only 2 showed up. 50% failure rate-not impressed. Glad I paid for fast shipping. customer:  Last month driver delivered box, sat in van for 10 min on phone, and drove off. Then got notice that package was ""lost in transit"". support: I'm sorry you only received two of the orders. Is this happening with the same carrier each time? We can see what options are available for the lost items, reach us by phone or chat here:  ^MG customer: Problems are mostly with AMZL US delivery, but this time it's UPS. UPS is usually pretty good. customer: Also, the item isn't lost. I watched them deliver it. Status still says ""lost in transit"", though. No big deal, but it makes Amzn look silly support: Okay, thanks for that info, Dave. Have you received any updates via e-mail for the last two packages you were expecting? Let us know. We'd like to help in any way we can! ^SM customer: Got shipping refunded via chat, and packages will be here when they get here. Thanks for letting me vent. support: Keep us posted, Dave! ^SM",The customer have a problem. The agent is very cordial and offers to follow up on the case.
5," customer: I'd rather you spent some time making your app &amp; website work properly rather than spending millions on pointless new advertising. support: Hi. We are in the middle of huge £7.5bn investment with new trains due soon. It’s important to tell this story to as many people as possible customer: This is what comes up no matter what I do on your website after the homepage... 24/7 for 5 days.  support: Hi Drayton. The websites been working. Have you tried clearing your cache or using a different browser? Lewis customer: Tried to buy a ticket 6 times in half an hour. Every time greeted with this. Not even 30 seconds between choosing a ticket and signing in.  support: Sorry to see this Drayton. To confirm, is this on the app or mobile site? Phil. customer: Literally irrelevant if ppl can't buy tix for the new trains. I've never hated a website so much that I physically dread having 2 use it. customer: App. I havent been able to purchase a ticket since your insane revamp. It worked perfectly before and now it's an absolute sh*tshow. support: Sorry for the difficulty you've had, can you try un/reinstalling and booking again? Phil. customer: Believe me Phil I've tried every trick in the book. Off and on again in all sense of the word. support: Sorry to see this - I'll report to our Development team. Can you use mobile or desktop site in the meantime? Phil. customer: No Phil, am going to get the bus instead  app works flawlessly. support:  Apologies again for the difficulty you've had today Drayton, I appreciate this is frustrating. Phil.",Customer cannot purchase a train ticket on the rail providers site since the revamp. Will report the issue to the development team.
6," customer:  doesn’t seem like a customer’s time/money is of value to you! just because you are a low-cost carrier!? Nvr again!! support: Sorry for the delay, Saim. Flight Change is subject to Change Fee (per person/per flight) at  plus &gt;&gt; support: &gt;&gt;Fare Difference, so you only have to pay for those. If you think it's cheaper to make a new booking, you may consider so.-Floi customer: bt how can the rescheduling charges be more than the ticket charges.
also the fair on your website is same now also then how the fair diff support: Really sorry as flight change is subject to change fee +  fare difference accordingly.Thanks - Ed customer: i will go ahead with fresh booking bt will u move my baggage n food to the new pnr? support: Hi Saim , We are sorry as the add ons cannot be transferred to another booking. Thanks - Khairul customer:   never seen somebody sooo least bothered about customer... feel cheated.. and feel robbed... customer: did nt expect this from such a reputed airlines...   support: Terribly sorry for the inconvenience but if you make a flight change, the baggage will be transfered to your new flight. However, support: if you make a new booking, it can not be transferred since it is a totally different booking. -Yana customer: as a basic courtesy and for customer satisfaction u can take so little of efforts... remember a satisfied customer is a best marketing customer: its a request plz support support: Really sorry Saim, but they're non-transferable and non-refundable. We just have to be fair to all of our guests &gt;&gt; support: &gt;&gt;hence Ticket rules apply. However, you may opt for Tax refund in case of No Show. Thanks for your patience. -Floi",The client is visibly upset with the service. The agent cannot help the customer.
7," customer: don't know what  have done to their website, but it's crawling and crashing on my machine with 16 cores and 24 GB RAM. customer: So the problem appears to be that Firefox is running at 100% CPU for the customer: website tab. This is suboptimal. support: Hi Iain, I would like to log your feedback for our IT team, could you please DM your full name, address and postcode? Thanks - Dani customer: Nice try, but you won't be stealing my identity today. Using FF 52.4.0 (64bit/Linux) and here's my stats with only Tesco groceries open:  support: Hi Iain, I'm afraid without those details we couldn't log your feedback. - Peter customer: Have you considered that your feedback logging mechanism is broken? The problem is in the website, not in me. support: Hi Iain, we are aware of some issues with our website that we are currently working on. I've logged your feedback anonymously. Thanks - Emma customer: Thanks. There's probably a middle ground between full name, address and postcode and complete anonymity, but this will do. customer: If it is helpful to your website team, I'm happy to try things out. Contact details at  support: Hi Iain, without completing data protection, we're unable to log this against your account or check for account errors. TY - Kelly.",Tesco's website is badly set up and crashing a person's computer. The agent asks for intrusive personal details to log the problem which the customer refuses to provide  so the agent does not do anything helpful at all.
8," customer: when is thrtr going to be an android update last one was April? support: Hi there! Which phone do you have? ^KJ customer: Galaxy s7 on android 7 support: The current android version for the Galaxy S7 is 7.0.0 and the base band version is G930R4TYU4BQE1. Is that what you have? ^KJ customer: Yes but why is it still on April when there is a September from samsung support: This is the most recent version we have available. ^KJ customer: Why not contact  about getting the next few security updates support: I have contacted Samsung and the current version is the most recent available for this phone at this time. ^KJ customer: So is there will not be anymore updates for a 1 1/2 old phone? support: We don't have any information on future updates. ^KJ customer: Is there any plans to release security updates for this phone? customer: Why not just let Samsung do a direct to consumer update if you aren't going to secure customers phones? support: Samsung has advised that there are no additional updates available. You may contact the manufacturer directly for more information. ^KJ customer: So current customers are not getting may,june,july,august,September security updates while on your network? support: Bob, once Samsung shares the updates with us, we will then share them with customers. ^AW customer: So why haven't you pushed Samsung for may-sept security updates? support: We don't have any information on future updates. ^KJ",Customer is enquiry about the latest android version of samsung. Agent inform that they will going to update once samsung updates.
9," customer: can anyone help me (the last system I used was Nintendo) I have a silly question about purchasing a digital game support: Hi! Let's have you follow us, DM us your Gamertag, and some more info about what you're seeing: 
 ^BL customer: I don't know what a game tag is. My question is I want to buy on Amazon a game for Xbox one for some1 without Xbox live. Can I? customer: Like can I purchase/use a digital Xbox one game off Amazon without Xbox live membership. There person does have internet access support: Gotcha. Some game titles do require an active internet connection in order to install updates, however, if they put 1/2 ^JA support: their console into offline mode:  then they should be able to launch this content. 2/2 ^JA customer: That didn't answer my question. If I buy a digital code of Forza horizon 3 from Amazon do I need Xbox live membership to install &amp; keep game customer: Basically do u need Xbox live membership to purchase/install/own/continually use a digital game purchase support: If you purchase a digital game, you would not need an Xbox Live Gold subscription to keep it:   ^EZ customer: Thank you. I'm sorry. I know nothing about this &amp; was only about to buy a digital copy. 😂😂 ",Customer is asking whether he needs to install Xbox live membership if he buy a digital code. Agent updated that there is no need of Xbox live gold subscription if they purchase a digital game.
10," customer: ok, I need to change the shipping address on some shipments, I just realized they're going to the wrong place. support: If the order hasn't entered the shipping process then you can edit the address
 ^KM customer: I successfully did it with 2 items, but someone named murfbooks is being difficult. I told them I wanted a refund if they won't cooperate. support: Hi, glad to hear you were able to do this for both items. Have they submitted the refund ? ^CR customer: No. I only put in the initial order an hour ago. They were quick to respond the first time, but now have not replied for about 15 minutes. support: Ah okay- Has the order been marked as shipped? ^NV customer: I am not sure... It says edit order, but it won't let me cuz it's 3rd party.  support: Please allow the seller a bit longer to respond. ^AT","Customer wants to change address ordered items are shipped to, and it only updated for 2 out of 3 items. The third items is with a seller on the site who will need a bit longer to respond and do the update."
